id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
180,"Cloak","63","10","47","64","100","56","Tyrone Johnson","No alter egos found.","-","South Boston, Massachusetts","Spectacular Spiderman #64","Marvel Comics","good","Male","null","7'5","226 cm","155 lb","70 kg","brown","black","Vigilante","Holy Ghost Church, 42nd Street, New York City","Cloak and Dagger, New Warriors, Marvel Knights","Smokin' Joe (rumored grandfather)",,,,,,,,,,,,,,,,,,,
181,"Clock King","75","10","17","10","7","40","William Tockman","No alter egos found.","Tempus Fugit","-","World's Finest #111 (August, 1960)","DC Comics","bad","Male","Human","5'10","178 cm","173 lb","78 kg","Blue","Black","-","-","Clockwatchers, Justice League Antarctica, Suicide Squad, Time Foes","Beverly (sister, deceased)",,,,,,,,,,,,,,,,,,,
182,"Cogliostro","null","null","null","null","null","null","Cain","No alter egos found.","Nicholas Cogliostro","-","Spawn #9","Image Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-","Cog",The Count,,,,,,,,,,,,,,,,,
183,"Colin Wagner","null","null","null","null","null","null",,"No alter egos found.","-","-","-","HarperCollins","good","Male","null","-","0 cm","- lb","0 kg","Grey","Brown","-","-","-","-",,,,,,,,,,,,,,,,,,,
184,"Colossal Boy","null","null","null","null","null","null",,"No alter egos found.","-","-","-","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
185,"Colossus","63","83","33","100","45","80","Piotr Nikolaievitch Rasputin","No alter egos found.","Pete","Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Giant-Size X-Men #1 (May, 1975)","Marvel Comics","good","Male","Mutant","7'5","226 cm","500 lb","225 kg","Silver","Black","(current) Adventurer, student, (former) Artist","(current) Professor Charles Xavier's Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Isle, Scotland,; a loft in Soho, Manhattan, Ust-Ordynski Collective, Lake Baikal, Siberia, U.S.S.R., X-Men Headquarters in Austra","X-Men; formerly Excalibur, Acolytes, Defender","Grigory Efimovich Rasputin (great-grandfather, deceased), Elena (great-grandmother, deceased), Ivan Rasputin (great-grand uncle, deceased), Grigory Rasputin (grandfather, deceased), Nikolai Rasputin (father, deceased), Alexandra Rasputina (mother, deceased), Vladimir Rasputin (uncle, deceased), unidentified aunt & uncle (deceased), Illyana Nikolievna Rasputina (Magik, sister, deceased), Mikhail Rasputin (brother), Peter Jr. (son), Larissa Mishchenko (cousin, deceased), Konstantin (cousin, deceased), Klara (cousin, deceased), Dimitriy (cousin, deceased)","Peter Nicholas",The Proletarian,Little Brother,,,,,,,,,,,,,,,,
186,"Copycat","56","10","21","25","54","60","Vanessa Carlysle","No alter egos found.","Nurse Veronica","-","New Mutants #98 (February, 1991)","Marvel Comics","neutral","Female","Mutant","6'0","183 cm","148 lb","67 kg","Red","White","-","Mobile; formerly Adirondack Mountains, Xavier's School for Gifted Youngsters","Weapon X/Weapon Plus and Six Pack (as Copycat), X-Force and New Mutants (as Domino)","Burt Carlysle (father, deceased), Dorothy Carlysle (mother)","Patricia Muggins",Titania,Garrison Kane,Christina Valentino,Domino,"Cheryl Marks","Debbie","Marguerite","Amy",,,,,,,,,,
187,"Corsair","null","16","null","null","null","null","Christopher Summers","No alter egos found.","-","-","Uncanny X-Men #107","Marvel Comics","good","Male","null","6'3","191 cm","175 lb","79 kg","Brown","Brown","Pirate, former pilot","The Starjammer, Mobile","Starjammers (leader), formerly N.A.S.A, U.S.A.F.","Philip Summers (father), Deborah Summers (mother), Katherine Anne Summers (wife, deceased), Hepzibah (mate), Scott Summers (Cyclops, son), Alexander Summers (Havok, son), Gabriel Summers (Vulcan, son), Madelyne Pryor-Summers (daughter-in-law, deceased), Jean Grey-Summers (Phoenix, daughter-in-law), Nathan Christopher Summers (Cable, grandson), Stryfe (clone grandson, deceased), Tyler Dayspring (Genesis, great-grandson, deceased), Rachel Grey (Marvel Girl, alternate timeline granddaughter)",,,,,,,,,,,,,,,,,,,
188,"Cottonmouth","50","10","8","10","27","25","Burchell Clemens","No alter egos found.","Quincy McIver","-","Captain America #310 (October, 1985)","Marvel Comics","bad","Male","Human","6'0","183 cm","220 lb","99 kg","Brown","Black","Professional criminal","Serpent Citadel","Serpent Society","-",,,,,,,,,,,,,,,,,,,
189,"Crimson Crusader","null","58","null","null","null","null","Rory Destine","No alter egos found.","-","Ravenscroft, England","ClanDestine #1 (1994)","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","Blue","Strawberry Blond","-","-","ClanDestine","Adam Destine (father), unnamed genie (mother), Albert Destine (brother), Samantha Destine (Argent, sister), William Destine (Cap'n Oz, brother), Kay Cera (Cuckoo, sister), Florence Destine (sister, deceased), Gracie Destine (sister, deceased), Dominic Destine (Hex, brother), Pandora Destine (Imp, sister), Maurice Destine (brother, deceased), Newton Destine (brother), Vincent Destine (brother, deceased), Walter Destine (Wallop, brother)",,,,,,,,,,,,,,,,,,,
190,"Crimson Dynamo","null","65","null","null","null","null","Anton Vanko","No alter egos found.","Krashni Denamit","-","Tales of Suspense #46 (Oct 1963)","Marvel Comics","good","Male","null","5'11","180 cm","230 lb","104 kg","Brown","No Hair","Scientist","Stark Industries plant, Long Island, New York","-","-",,,,,,,,,,,,,,,,,,,
191,"Crystal","63","16","12","14","61","56","Crystallia Amaquelin","No alter egos found.","Crys","Attilan","Fantastic Four #45 (1965)","Marvel Comics","good","Female","Inhuman","5'6","168 cm","110 lb","50 kg","Green","Red","Mother, adventuress","-","Inhumans (Royal Family); formerly Fantastic Four, Avengers, Queen's Vengeance","Quelin (father), Ambur (mother), Medusa (sister), Gorgon, Karnak, Triton (cousins), Black Bolt (cousin, brother-in-law), Pietro Maximoff (Quicksilver, estranged husband), Luna (daughter), Ahura (nephew), extensive extended family","Exquisite Elemental",,,,,,,,,,,,,,,,,,
192,"Curse","null","null","null","null","null","null","Phillip Krahn","No alter egos found.","-","-","Spawn #25","Image Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
193,"Cy-Gor","null","96","null","null","null","null",,"No alter egos found.","-","-","-","Image Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
194,"Cyborg","75","53","42","85","71","64","Victor Stone","No alter egos found.","Cyberion Technis","New York City, New York","DC Comics Presents #26 (October, 1980)","DC Comics","good","Male","Cyborg","6'6","198 cm","385 lb","173 kg","Brown","Black","Adventurer, Teen Titan","San Francisco","Justice League; formerly Teen Titans, Titans, Titans East, New Teen Titans","Silas Stone (father), Elinore Stone (mother), Tucker Stone (grandfather), Maude Stone (grandmother)","Omegadrome",Planet Cyberion,,,,,,,,,,,,,,,,,
195,"Cyborg Superman","75","93","92","100","100","80","Henry Henshaw","No alter egos found.","Grandmaster of the Manhunters","-","Adventures of Superman #466 (May, 1990)","DC Comics","bad","Male","Cyborg","-","0 cm","- lb","0 kg","Blue","Black","-","Warworld, Qward, Antimatter Universe, formerly Biot, Sector 3601","Alpha Lantern Corps, Manhunters, Warworld, formerly Apokolips and Sinestro Corps","Terri Henshaw (wife, deceased)","Herald of the Anti-Monitor",Alpha-Prime of the Alpha Lanterns,,,,,,,,,,,,,,,,,
196,"Cyclops","75","10","23","42","76","80","Scott Summers","No alter egos found.","Scotty","Anchorage, Alaska","X-Men #1 (September, 1963)","Marvel Comics","good","Male","Mutant","6'3","191 cm","195 lb","88 kg","Brown","Brown","Leader of mutant race, adventurer, headmaster, former student, radio announcer","Xavier Institute, Salem Center, Westchester County, New York","X-Men (leader, founding member); formerly X-Force (founder); Corsairs (squad leader); The Twelve; X-Factor/X-Terminators (founding member); 198","Oscar Summers (adoptive paternal distant ancestor, deceased); Daniel Summers (paternal distant ancestor, deceased); Amanda Mueller (Black Womb) (paternal distant ancestor); unnamed great-grandfather, deceased; Gloria Dayne (Fontanelle) (paternal distant ancestor); Philip Summers (paternal grandfather); Deborah Summers (paternal grandmother); Christopher Summers (Corsair) (father, deceased); Katherine Ann Summers (mother, deceased); Jack Winters (Jack O'Diamonds) (former foster father); Alexander Summers (Havok) (brother); Gabriel Summers (Vulcan) (brother, deceased); Madelyne Pryor-Summers (Red Queen) (first wife/second wife's clone, deceased); Jean Grey-Summers (Phoenix) (second wife, deceased); Nathan Summers (Cable) (son, deceased); Gailyn Bailey (niece, deceased); Joseph Bailey (nephew, deceased); Adam Neramani (X-Treme) (nephew, alleged half-brother); Hope Summers (adoptive granddaughter); Stryfe (son's clone); Summers and Grey Family Tree (more relatives)","Cyke",Slim,Fearless Leader,One-Eye,Erik the Red,"Slym Dayspring","Mutate 007","Apocalypse",,,,,,,,,,,
197,"Cypher","null","44","null","null","null","null","Douglas Aaron Ramsey","No alter egos found.","-","Place of birth unknown","New Mutants (Vol. 1) #13","Marvel Comics","good","-","null","5'9'","175 cm","150 lb","68 kg","Blue","Blond","Student, Adventurer","Professor Charles Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","New Mutants","Phillip Ramsey (father), Sheila Ramsey (mother)",,,,,,,,,,,,,,,,,,,
198,"Dagger","63","10","35","42","52","70","Tandy Bowen","No alter egos found.","Lady Light","Shaker Heights, Ohio","Spectacular Spiderman #64","Marvel Comics","good","Female","null","Shaker Heights, Ohio",,"116 lb","52 kg","Blue","Blond","Vigilante","Holy Ghost Church, 42nd Street, New York City","Cloak and Dagger, Defenders, League of Losers, Marvel Knights, New Warriors, Secret Avengers","Melissa Bowen (mother), unnamed father, Phillip Carlisle (stepfather), Father Michael Bowen (uncle)",,,,,,,,,,,,,,,,,,,
199,"Danny Cooper","null","null","null","null","null","null",,"No alter egos found.","-","-","-","HarperCollins","good","Male","null","-","0 cm","- lb","0 kg","Brown","Blond","-","-","-","-",,,,,,,,,,,,,,,,,,,
200,"Daphne Powell","38","10","8","10","56","10","Daphne Powell","No alter egos found.","-","-","No Ordinary Family S01E01 (2010)","ABC Studios","good","Female","null","-","0 cm","- lb","0 kg","-","-","Student","-","-","Jim Powell and Stephanie Powell (parents), JJ Powell (brother)",,,,,,,,,,,,,,,,,,,
201,"Daredevil","75","13","25","35","61","100","Matt Murdock","No alter egos found.","Matt","New York City, New York","Daredevil #1 (April, 1964)","Marvel Comics","good","Male","Human","6'0","183 cm","200 lb","90 kg","Blue","Red","Adventurer, vigilante, Attorney at Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)","Jack Batlin",Kingpin of Crime,Laurent LeVasseur,"Michael ""Mike"" Murdock",Scarlet Swashbuckler,"Nameless One","Kingpin of Hell's Kitchen","The Man Without Fear","The Guardian Devil","DD","Red","Hornhead","Cooper Peyton","Captain Universe",,,,,
202,"Darkhawk","50","32","33","70","74","64","Christopher Powell","No alter egos found.","Bucket-Head","Queens, New York","Darkhawk #1 (March, 1991)","Marvel Comics","good","Male","Human","6'1","185 cm","180 lb","81 kg","Brown","Brown","Retired Superhero","Los Angeles, California; formerly New York City and Avengers Compound","formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)","Edge-Man",Powell,,,,,,,,,,,,,,,,,
203,"Darkman","75","14","23","85","12","28","Peyton Westlake","No alter egos found.","-","-","Darkman (August 24, 1990)","Universal Studios","good","Male","null","-","0 cm","- lb","0 kg","-","-","Scientist","-","-","Julie Hastings (girlfriend)",,,,,,,,,,,,,,,,,,,
204,"Darkseid","88","100","83","100","100","95","Uxas","No alter egos found.","Dark God","-","Superman's Pal Jimmy Olsen #134 (November 1970)","DC Comics","bad","Male","New God","8'9","267 cm","1815 lb","817 kg","Red","No Hair","Dictator of Apokolips","-","New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)",,,,,,,,,,,,,,,,,,,
205,"Darkside","null","null","null","null","null","null",,"No alter egos found.","-","-","-","null","bad","-","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
206,"Darkstar","38","8","35","42","79","64","Laynia Petrovna","No alter egos found.","Tyomni Zvesda","Minks, USSR","Champions #7 (August, 1976)","Marvel Comics","good","Female","Mutant","5'6","168 cm","125 lb","56 kg","Brown","Blond","Occupation unknown","(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States","(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",,,,,,,,,,,,,,,,,,,
207,"Darth Maul","56","48","50","30","100","100",,"No alter egos found.","Sith","Dathomir","Star Wars Episode I: The Phantom Menace (1999)","George Lucas","bad","Male","Dathomirian Zabrak","5'7","170 cm","- lb","0 kg","Yellow / Red","-","-","-","-","Darth Sidious (Master)","Master Of The Double-Bladed Lightsaber",,,,,,,,,,,,,,,,,,
208,"Darth Vader","69","48","33","35","100","100","Anakin Skywalker","No alter egos found.","Lord Vader","Tatooine","Star Wars: Episode IV - A New Hope (1977)","George Lucas","bad","Male","Cyborg","6'6","198 cm","300 lb","135 kg","Yellow","No Hair","Sith Lord, Supreme Commander of the Imperial Fleet","Death Star","Sith, Galactic Empire","Luke Skywalker (Son), Princess Leia (Daughter)",,,,,,,,,,,,,,,,,,,
209,"Dash","25","12","92","60","20","30","Dashiell Robert Parr","No alter egos found.","The Fastest Kid on Earth","-","The Incredibles (Movies, 2004)","Dark Horse Comics","good","Male","Human","4'0","122 cm","60 lb","27 kg","Blue","Blond","-","-","Incredible Family (genetic member), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally)","Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)","The Dash",,,,,,,,,,,,,,,,,,
210,"Data","100","32","21","40","56","50","Data","No alter egos found.","B-4","-","-","Star Trek","good","Male","Android","-","0 cm","- lb","0 kg","Yellow","Brown","Lieutenant commander","-","-","Dr. Noonian Soong (creator)",,,,,,,,,,,,,,,,,,,
211,"Dazzler","63","10","33","60","100","55","Alison Blaire","No alter egos found.","Ali","Gardendale, Long Island, New York","X-Men #130 (1980)","Marvel Comics","good","Female","Mutant","5'8","173 cm","115 lb","52 kg","Blue","Blond","Adventurer, singer, former actress, model, revolutionary","-","Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)","The Disco Dazzler",Songbird,Dazz,Kimberly Schau,Ally,,,,,,,,,,,,,,
212,"Deadman","50","10","33","100","100","42","Boston Brand","No alter egos found.","-","-","Strange Adventures #205 (October, 1967)","DC Comics","good","Male","Human","6'0","183 cm","201 lb","90 kg","Blue","Black","Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead","White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",,,,,,,,,,,,,,,,,,,
213,"Deadpool","69","32","50","100","100","100","Wade Wilson","Evil Deadpool, Venompool","Wade Wilson","Canada","New Mutants #98 (February, 1991)","Evil Deadpool","neutral","Male","Mutant","6'2","188 cm","210 lb","95 kg","Brown","No Hair","Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Cavern-X, Sedona, Arizona, Mobile","Thunderbolts (Strike Team), shares body with Agent Preston; formerly X-Force, Deadpool Corps, Agency X, S.H.I.E.L.D.; Code Red, Six Pack, One World Church, DP Inc., Weapon X, Weapon Plus, Heroes for Hire, Secret Defenders, Frightful Four, Team Deadpool, L","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)","Jack","Chiyonosake (""the Wolf of the Rice Wine"")",Rhodes,Corpus,Lopez,"Hobgoblin","Thom Cruz","Peter Parker",,,,,,,,,,,
214,"Deadshot","50","10","23","28","55","80","Floyd Lawton","No alter egos found.","Man Who Never Misses","-","Batman #59 (June, 1950)","DC Comics","bad","Male","Human","6'1","185 cm","202 lb","91 kg","Brown","Brown","-","-","-","-","Worlds Finest Assassin",Orlando Furioso,,,,,,,,,,,,,,,,,
